,Time,BG,CGM,CHO,basal,bolus,LBGI,HBGI,Risk,state_0,state_1,state_2,state_3,state_4,state_5,state_6,state_7,state_8,state_9,state_10,state_11,state_12
1102,2018-01-01 18:22:00,59.18753010138677,66.09000050522572,0.0,0.021125,0.0,14.161725401493332,0.0,14.161725401493332,1.2992512355391186,8.175749468150329,5.717092997620657,4.634339130118636,4.001816169469751,2.690974471434987,5.233343939043508,5.660343419356435,5.480990261655144,2.2074629890147546,4.549065631660698,5.903326051243976,4.732149235655874
1103,2018-01-01 18:23:00,58.76113359789755,65.64674410270109,0.0,0.021125,0.0,14.480255370615005,0.0,14.480255370615005,1.2659207991170323,8.166773918607584,5.732372287815523,4.628088356497598,3.995607910297545,2.687325403014878,5.227944958471837,5.659757257811204,5.48189710990399,2.2039749899146717,4.545274243596518,5.899429696491811,4.725041408374382
1104,2018-01-01 18:24:00,58.3412523273801,65.11114853848392,0.0,0.021125,0.0,14.799636605970278,0.0,14.799636605970278,1.2330210421280186,8.157503512130576,5.748408399359812,4.621915019897076,3.9894712729161403,2.6836795260174573,5.22252156840559,5.659157727438981,5.482795672588075,2.2004902099652166,4.5415330732443575,5.895533772525047,4.717993760736883
1105,2018-01-01 18:25:00,57.927862313454895,64.4743928630603,91.0,0.021125,0.0,15.119726408719432,0.0,15.119726408719432,8.494900428844439,8.144458300332278,6.084621496385084,4.616285079632153,3.983424201025602,2.68003699854451,5.2170740520939605,5.658544936073766,5.483685934332149,2.197008806265794,4.5378416399544514,5.891638473202499,4.711018293689902
1106,2018-01-01 18:26:00,57.52156496195973,63.728281509133666,0.0,0.021125,9.1,15.439883258194238,0.0,15.439883258194238,9.16490962855623,8.193171646055312,6.322130498844392,4.611585526205695,3.9775415808414145,2.70795355636249,5.212037184364839,5.657965654324954,5.4845679456485605,2.197141701799699,6.433313617749187,5.898836200697266,4.704165621213268
1107,2018-01-01 18:27:00,57.12517020448714,62.86682743516218,0.0,0.021125,0.0,15.75764414534733,0.0,15.75764414534733,9.547642576847107,8.29051000009789,6.516957679984008,4.607761400801842,3.9718786437337137,2.756424202486385,5.208942879436318,5.657585418049653,5.485442423108,2.211212149776038,6.418247218654678,5.916533559821612,4.6974881553409435
1108,2018-01-01 18:28:00,56.74151461588203,61.884070242856396,0.0,0.021125,0.0,16.070369070502068,0.0,16.070369070502068,9.812826758749699,8.419611571134423,6.692667917790087,4.604828159621496,3.966469735276508,2.793509393491017,5.207742694992859,5.657402446314366,5.4863105704849335,2.23395077978257,6.403211658732645,5.933419209250671,4.691033922839351
1109,2018-01-01 18:29:00,56.3731118410832,60.77832170233508,0.0,0.021125,0.0,16.375535972430335,0.0,16.375535972430335,10.01367225613827,8.56542286278692,6.859921036157188,4.602856324440451,3.9613569004650033,2.8231440720086094,5.208050414815548,5.65737919600135,5.487173402364447,2.2596307115764405,6.3882073406009985,5.949538589152204,4.684851152405079
1110,2018-01-01 18:30:00,56.02242678802521,59.56622523997015,0.0,0.021125,0.0,16.670537403386803,0.0,16.670537403386803,10.17388399156239,8.71700074234738,7.023190549346134,4.601958123106672,3.9565939379945796,2.8476378525249806,5.209584439405973,5.657489158997643,5.48803175167642,2.2853004418749796,6.373234670156416,5.964933489946005,4.678991645232681
1111,2018-01-01 18:31:00,55.69207230353451,58.26916731933976,0.0,0.021125,0.0,16.952525387642975,0.0,16.952525387642975,10.306107975216523,8.867398781948223,7.183820183900386,4.602275420781326,3.9522476022408495,2.868410929231529,5.21213147596325,5.657712843118441,5.488886320206854,2.3095717119519055,6.358294056539859,5.979642433300773,4.6735131271262
1112,2018-01-01 18:32:00,55.38494380352694,56.90881697311142,0.0,0.021125,0.0,17.218299942058536,0.0,17.218299942058536,10.417893102886602,9.012653992625415,7.34165973916723,4.603968774685733,3.948398109138557,2.8863758174653418,5.215524209046782,5.658035343935758,5.489737711179856,2.331891449864429,6.343385912099827,5.99370100467872,4.668480734913193
1113,2018-01-01 18:33:00,55.104304173594535,55.507210703628886,0.0,0.021125,0.0,17.464238341402588,0.0,17.464238341402588,10.514108663174902,9.150756651862432,7.495976120909223,4.607207491262273,3.9451389090721447,2.9021444915589836,5.219627425062739,5.658444857796506,5.490586450947983,2.3521325322856725,6.328510652353277,6.007142144639055,4.663967764243695
1114,2018-01-01 18:34:00,54.85382928657323,54.086798000479774,0.0,0.021125,0.0,17.68626292249738,0.0,17.68626292249738,10.598079359492703,9.280881514777409,7.645935636208222,4.612160619460555,3.9425757583816003,2.916144647079006,5.224329236806766,5.65893175478042,5.49143300394951,2.3703722534224205,6.313668695944191,6.019996404889527,4.660055783659036
1115,2018-01-01 18:35:00,54.63762274864848,52.670456086601234,0.0,0.021125,0.0,17.8798457748372,0.0,17.8798457748372,10.67217650330811,9.402883532057393,7.790828319236748,4.618988872304422,3.9408251544418107,2.928686938974971,5.229535380419758,5.659487986204793,5.492277783425151,2.38677547669967,6.298860464599717,6.032292174084576,4.656834203742773
1116,2018-01-01 18:36:00,54.46020710182971,51.281481120754385,0.0,0.021125,0.0,18.040048887556793,0.0,18.040048887556793,10.738150892432534,9.516987955915198,7.930145911709936,4.627837532588556,3.9400122106298054,2.940004848842628,5.235165394533621,5.660106695947785,5.4931211593689735,2.4015350153221697,6.284086383083886,6.04405587756057,4.65439937404407
1117,2018-01-01 18:37:00,54.32649729977128,49.943561673345286,0.0,0.021125,0.0,18.16159846573408,0.0,18.16159846573408,10.7973319963307,9.623606886786899,8.063585061081419,4.638830431078103,3.9402680585873253,2.9502790693639165,5.241149950535613,5.66078195599284,5.493963464640348,2.414842394120548,6.269346879148824,6.055312154536912,4.652853274748367
1118,2018-01-01 18:38:00,54.24176138426181,48.680739402914234,0.0,0.021125,0.0,18.238991632304298,0.0,18.238991632304298,10.850753118292689,9.723233488410367,8.191018190651313,4.652065108245601,3.941726870107647,2.959652842300428,5.247428912627235,5.661508580293732,5.494804999794973,2.42687470437418,6.254642383483433,6.066084015766519,4.652301863424325
1119,2018-01-01 18:39:00,54.21157227369137,47.51736084460302,0.0,0.021125,0.0,18.266633126817908,0.0,18.266633126817908,10.899233273792705,9.816382544631413,8.312454926605968,4.667609260385497,3.944522600414755,2.968241928910116,5.253949870093171,5.662281988872883,5.49564603699631,2.437789734567004,6.239973329659508,6.076392984168327,4.65285313741879
1120,2018-01-01 18:40:00,54.24175386355908,46.47802351066244,0.0,0.021125,0.0,18.238998513864328,0.0,18.238998513864328,10.943432591096494,9.903558222632865,8.428005003882156,4.685498538357742,3.948785564683672,2.9761413151062426,5.260666986947047,5.6630981051877285,5.496486823242528,2.447725220074531,6.2253401540752344,6.086259220599754,4.654614975092754
1121,2018-01-01 18:41:00,54.338323998085876,45.587518862065124,0.0,0.021125,0.0,18.150819076438154,0.0,18.150819076438154,10.983890887778593,9.985237627625619,8.537846928228596,4.705735714471555,3.9546389701061204,2.9834298782956865,5.2675400738437546,5.663953276294971,5.497327583067768,2.456800013971149,6.210743295896053,6.095701636614418,4.657692824219056
1122,2018-01-01 18:42:00,54.50743634284724,44.87077418113826,0.0,0.021125,0.0,17.997282053795246,0.0,17.997282053795246,11.021055204708235,10.061863413841687,8.642203328693805,4.728291168217269,3.9621955343282176,2.9901737449208743,5.27453382244257,5.664844209212675,5.498168520828827,2.4651160362662714,6.196183196992834,6.104737995788493,4.66218731215772
1123,2018-01-01 18:43:00,54.75532274800248,44.35279493479283,0.0,0.021125,0.0,17.77423835490478,0.0,17.77423835490478,10.991532166431591,10.130282635217116,8.741105776051713,4.753102291545115,3.971554268686563,2.996428780570693,5.281617163388316,5.665767919207732,5.499009822657849,2.472760424421051,6.181660301877332,6.113385004978774,4.668191821104692
1124,2018-01-01 18:44:00,55.088235247515385,44.054261659015424,0.0,0.021125,0.0,17.478410364675327,0.0,17.478410364675327,10.945410961494565,10.187736574473552,8.833906188164418,4.7800531896502045,3.9827962304263425,3.0022424865633925,5.288762721692763,5.666721687154436,5.499851658141436,2.4798076086917513,6.1671750576349025,6.1216583966896305,4.675789225798232
1125,2018-01-01 18:45:00,55.5123387664791,43.97838732200624,0.0,0.021125,0.0,17.10763261999814,0.0,17.10763261999814,10.899289794085416,10.23546234668605,8.920086934795304,4.808960458522215,3.9959777288230125,3.0076554771496866,5.295946351020436,5.6677030239892705,5.500694181772861,2.4863211934570653,6.152727913854427,6.129573003568481,4.685046714975928
1126,2018-01-01 18:46:00,56.033485869951654,44.123727417201486,0.0,0.021125,0.0,16.661166431983975,0.0,16.661166431983975,10.853168665975476,10.275131484929599,8.999526554868298,4.839588260250996,4.011124127084065,3.0127026512101556,5.303146733236404,5.668709640844821,5.501537534214377,2.49235560625715,6.138319322555432,6.1371428259155705,4.6960107011128365
